megnevezes,irsz
Szirmabesenyõ,3711
Sajóvámos,3712
Sajósenye,3712
Arnót,3713
Sajópálfala,3714
Gesztely,3715
Újcsanálos,3716
Sóstófalva,3716
Alsódobsza,3717
Megyaszó,3718
Sajókaza,3720
Sajóivánka,3720
Felsõnyárád,3721
Dövény,3721
Jákfalva,3721
Felsõkelecsény,3722
Zubogy,3723
Ragály,3724
Trizs,3724
Imola,3725
Zádorfalva,3726
Alsószuha,3726
Szuhafõ,3726
Kelemér,3728
Gömörszõlõs,3728
Serényfalva,3729
Szuhakálló,3731
Kurityán,3732
Rudabánya,3733
Szuhogy,3734
Felsõtelekes,3735
Alsótelekes,3735
Kánó,3735
Izsófalva,3741
Rudolftelep,3742
Ormosbánya,3743
Múcsony,3744
Szendrõlád,3751
Szendrõ,3752
Galvács,3752
Abod,3753
Szalonna,3754
Meszes,3754
Martonyi,3755
Perkupa,3756
Varbóc,3756
Szõlõsardó,3757
Égerszög,3757
Teresztenye,3757
Jósvafõ,3758
Aggtelek,3759
Szin,3761
Szinpetri,3761
Tornakápolna,3761
Szögliget,3762
Bódvaszilas,3763
Bódvarákó,3764
Komjáti,3765
Tornabarakony,3765
Tornaszentandrás,3765
Tornanádaska,3767
Hidvégardó,3768
Becskeháza,3768
Bódvalenke,3768
Tornaszentjakab,3769
Sajószentpéter,3770
Sajókápolna,3773
Sajólászlófalva,3773
Kondó,3775
Radostyán,3776
Parasznya,3777
Varbó,3778
Alacska,3779
Edelény,3780
Balajt,3780
Damak,3780
Ládbesenyõ,3780
Edelény - Finke,3783
Lak,3786
Hegymeg,3786
Irota,3786
Szakácsi,3786
Tomor,3787
Sajókeresztúr,3791
Sajóbábony,3792
Sajóecseg,3793
Boldva,3794
Ziliz,3794
Hangács,3795
Nyomár,3795
Borsodszirák,3796
Szikszó,3800
Selyeb,3809
Abaújszolnok,3809
Nyésta,3809
Alsóvadász,3811
Homrogd,3812
Monaj,3812
Kupa,3813
Felsõvadász,3814
Gadna,3815
Abaújlak,3815
Gagyvendégi,3816
Gagybátor,3817
Krasznokvajda,3821
Büttös,3821
Kány,3821
Keresztéte,3821
Pamlény,3821
Perecse,3821
Szászfa,3821
Rakaca,3825
Debréte,3825
Viszló,3825
Rakacaszend,3826
Kázsmárk,3831
Léh,3832
Rásonysápberencs,3833
Detek,3834
Beret,3834
Baktakék,3836
Felsõgagy,3837
Alsógagy,3837
Csenyéte,3837
Gagyapáti,3837
Aszaló,3841
Halmaj,3842
Kiskinizs,3843
Nagykinizs,3844
Szentistvánbaksa,3844
Hernádkércs,3846
Felsõdobsza,3847
Csobád,3848
Forró,3849
Ináncs,3851
Hernádszentandrás,3852
Pere,3853
Hernádbûd,3853
Gibárt,3854
Fancsal,3855
Encs,3860
Szalaszend,3863
Fulókércs,3864
Fáj,3865
Szemere,3866
Litka,3866
Méra,3871
Novajidrány,3872
Garadna,3873
Hernádvécse,3874
Hernádpetri,3874
Pusztaradvány,3874
Hernádszurdok,3875
Hidasnémeti,3876
Tornyosnémeti,3877
Abaújszántó,3881
Baskó,3881
Sima,3881
Abaújkér,3882
Abaújalpár,3882
Boldogkõújfalu,3884
Boldogkõváralja,3885
Arka,3885
Korlát,3886
Hernádcéce,3887
Vizsoly,3888
Vilmány,3891
Hejce,3892
Fony,3893
Mogyoróska,3893
Regéc,3893
Göncruszka,3894
Gönc,3895
Telkibánya,3896
Zsujta,3897
Abaújvár,3898
Pányok,3898
Kéked,3899
Szerencs,3900
Szerencs - Ond,3902
Bekecs,3903
Legyesbénye,3904
Monok,3905
Golop,3906
Tállya,3907
Rátka,3908
Mád,3909
Tokaj,3910
Tarcal,3915
Bodrogkeresztúr,3916
Bodrogkisfalud,3917
Szegi,3918
Szegilong,3918
Taktaszada,3921
Taktaharkány,3922
Gesztely - Újharangod,3923
Taktakenéz,3924
Prügy,3925
Taktabáj,3926
Csobaj,3927
Tiszatardos,3928
Tiszaladány,3929
Mezõzombor,3931
Erdõbénye,3932
Olaszliszka,3933
Tolcsva,3934
Erdõhorváti,3935
Háromhuta,3936
Komlóska,3937
Vámosújfalu,3941
Sárazsadány,3942
Bodrogolaszi,3943
Sátoraljaújhely - Károlyfalva,3944
Sátoraljaújhely - Rudabányácska,3945
Sárospatak,3950
Györgytarló,3954
Kenézlõ,3955
Viss,3956
Zalkod,3957
Hercegkút,3958
Makkoshotyka,3959
Vajdácska,3961
Karos,3962
Karcsa,3963
Pácin,3964
Nagyrozvágy,3965
Kisrozvágy,3965
Lácacséke,3967
Tiszakarád,3971
Tiszacsermely,3972
Cigánd,3973
Ricse,3974
Semjén,3974
Révleányvár,3976
Zemplénagárd,3977
Dámóc,3978
Sátoraljaújhely,3980
Alsóberecki,3985
Felsõberecki,3985
Bodroghalom,3987
Sátoraljaújhely - Széphalom,3988
Mikóháza,3989
Alsóregmec,3989
Felsõregmec,3989
Vilyvitány,3991
Kovácsvágás,3992
Vágáshuta,3992
Füzérradvány,3993
Pálháza,3994
Bózsva,3994
Filkeháza,3994
Füzérkajata,3994
Kishuta,3994
Nagyhuta,3994
Pusztafalu,3995
Füzér,3996
Füzérkomlós,3997
Nyíri,3998
Hollóháza,3999
Debrecen - ,4000
Balmazújváros,4060
Nagyhegyes,4064
Újszentmargita,4065
Tiszacsege,4066
Egyek - Telekháza,4067
Egyek,4069
Hortobágy,4071
Hajdúböszörmény - Nagypród,4074
Görbeháza,4075
Hajdúnánás - ,4080
Hajdúnánás - Tedej,4085
Hajdúböszörmény - Hajdúvid,4086
Hajdúdorog,4087
Polgár,4090
Folyás,4095
Újtikos,4096
Tiszagyulaháza,4097
Berettyóújfalu,4100
Biharkeresztes,4110
Bojt,4114
Ártánd,4115
Berekböszörmény,4116
Told,4117
Mezõpeterd,4118
Váncsod,4119
Szentpéterszeg,4121
Gáborján,4122
Hencida,4123
Esztár,4124
Pocsaj,4125
Kismarja,4126
Nagykereki,4127
Bedõ,4128
Derecske - ,4130
Tépe,4132
Konyár,4133
Mezõsas,4134
Körösszegapáti,4135
Körösszakál,4136
Magyarhomorog,4137
Komádi,4138
Furta,4141
Zsáka,4142
Vekerd,4143
Darvas,4144
Csökmõ,4145
Újiráz,4146
Püspökladány,4150
Báránd,4161
Szerep - Hosszúhát,4162
Szerep,4163
Bakonszeg,4164
Sárrétudvari,4171
Biharnagybajom,4172
Nagyrábé,4173
Bihartorda,4174
Bihardancsháza,4175
Sáp,4176
Földes,4177
Nádudvar,4181
Kaba,4183
Tetétlen,4184
Hajdúszoboszló,4200
Ebes,4211
Hajdúszovát,4212
Hajdúböszörmény - ,4220
Hajdúböszörmény - Bodaszõlõ,4224
Bököny,4231
Geszteréd,4232
Balkány,4233
Szakoly,4234
Biri,4235
Bocskaikert,4241
Hajdúhadház,4242
Téglás,4243
Újfehértó,4244
Érpatak,4245
Nyíregyháza - Butykatelep,4246
Hajdúsámson,4251
Nyíradony - Tamásipuszta,4252
Nyíradony - Aradványpuszta,4253
Nyíradony,4254
Nyíracsád,4262
Nyírmártonfalva,4263
Nyírábrány,4264
Fülöp,4266
Penészlek,4267
Mikepércs,4271
Sáránd,4272
Hajdúbagos,4273
Hosszúpályi,4274
Monostorpályi,4275
Létavértes - Nagyléta,4281
Létavértes - Vértes,4283
Kokad,4284
Álmosd,4285
Bagamér,4286
Vámospércs,4287
Újléta,4288
Nyírbátor,4300
Nyírgyulaj,4311
Nagykálló,4320
Kállósemjén,4324
Kisléta,4325
Máriapócs,4326
Pócspetri,4327
Nyírcsászári,4331
Nyírderzs,4332
Nyírkáta,4333
Hodász,4334
Kántorjánosi,4335
Õr,4336
Jármi,4337
Papos,4338
Nyírvasvári,4341
Terem,4342
Bátorliget,4343
Vállaj,4351
Mérk,4352
Tiborszállás,4353
Fábiánháza,4354
Nagyecsed,4355
Nyírcsaholy,4356
Nyírbogát,4361
Nyírgelse,4362
Nyírmihálydi,4363
Nyírlugos,4371
Nyírbéltek,4372
Ömböly,4373
Encsencs,4374
Piricse,4375
Nyírpilis,4376
Nyíregyháza - ,4400
Nyíregyháza - Borbánya,4405
Nyíregyháza - Sóstófürdõ,4431
Nyíregyháza - Nyírszõlõs,4432
Nyíregyháza - Felsõsima,4433
Kálmánháza,4434
Tiszavasvári,4440
Szorgalmatos,4441
Nagycserkesz,4445
Tiszaeszlár - Bashalom,4446
Tiszalök - Kisfástanya,4447
Tiszalök,4450
Tiszadada,4455
Tiszadob,4456
Nyírtelek,4461
Tiszanagyfalu,4463
Tiszaeszlár,4464
Rakamaz,4465
Timár,4466
Szabolcs,4467
Balsa,4468
Gávavencsellõ - Gáva,4471
Gávavencsellõ - Vencsellõ,4472
Tiszabercel,4474
Paszab,4475
Nyíregyháza - Sóstóhegy,4481
Kótaj,4482
Buj,4483
Ibrány,4484
Nagyhalász,4485
Tiszatelek - Kétérköz,4486
Tiszatelek,4487
Beszterec,4488
Újdombrád,4491
Dombrád,4492
Tiszakanyár,4493
Kékcse,4494
Döge,4495
Szabolcsveresmart,4496
Kemecse,4501
Vasmegyer,4502
Tiszarád,4503
Nyírbogdány,4511
Kék,4515
Demecser,4516
Gégény,4517
Berkesz,4521
Nyírtass,4522
Pátroha,4523
Ajak,4524
Rétközberencs,4525
Nyírpazony,4531
Nyírtura,4532
Sényõ,4533
Székely,4534
Nyíribrony,4535
Ramocsaháza,4536
Nyírkércs,4537
Nyírjákó,4541
Petneháza,4542
Laskod,4543
Nyírkarász,4544
Gyulaháza,4545
Anarcs,4546
Szabolcsbáka,4547
Nyíregyháza - Oros,4551
Napkor,4552
Apagy,4553
Nyírtét,4554
Levelek,4555
Magy,4556
Besenyõd,4557
Ófehértó,4558
Baktalórántháza,4561
Vaja,4562
Rohod,4563
Nyírmada,4564
Pusztadobos,4565
Ilk,4566
Gemzse,4567
Kisvárda,4600
Jéke,4611
Fényeslitke,4621
Komoró,4622
Tuzsér,4623
Tiszabezdéd,4624
Záhony,4625
Gyõröcske,4625
Zsurk,4627
Tiszaszentmárton,4628
Pap,4631
Nyírlövõ,4632
Lövõpetri,4633
Aranyosapáti,4634
Újkenéz,4635
Mezõladány,4641
Tornyospálca,4642
Benk,4643
Mándok,4644
Tiszamogyorós,4645
Eperjeske,4646
Mátészalka,4700
Szamoskér,4721
Nyírmeggyes,4722
Tunyogmatolcs,4731
Cégénydányád,4732
Gyügye,4733
Szamosújlak,4734
Szamossályi,4735
Hermánszeg,4735
Kisnamény,4737
Darnó,4737
Jánkmajtis,4741
Csegöld,4742
Csengersima,4743
Szamosbecs,4745
Szamostatárfalva,4746
Kocsord,4751
Gyõrtelek,4752
Géberjén,4754
Fülpösdaróc,4754
Ököritófülpös,4755
Rápolt,4756
Porcsalma,4761
Tyukod,4762
Ura,4763
Csengerújfalu,4764
Csenger,4765
Komlódtótfalu,4765
Pátyod,4766
Szamosangyalos,4767
Vásárosnamény,4800
Vásárosnamény - Gergelyiugornya,4803
Vásárosnamény - Vitka,4804
Kisvarsány,4811
Nagyvarsány,4812
Gyüre,4813
Ópályi,4821
Nyírparasznya,4822
Nagydobos,4823
Szamosszeg,4824
Olcsva,4826
Tiszaszalka,4831
Tiszavid,4832
Tiszaadony,4833
Tiszakerecseny,4834
Mátyus,4835
Lónya,4836
Jánd,4841
Gulács,4842
Hetefejércse,4843
Csaroda,4844
Tákos,4845
Fehérgyarmat,4900
Nábrád,4911
Kérsemjén,4912
Panyola,4913
Olcsvaapáti,4914
Kisar,4921
Tivadar,4921
Nagyar,4922
Tarpa,4931
Márokpapi,4932
Beregsurány,4933
Beregdaróc,4934
Gelénes,4935
Vámosatya,4936
Barabás,4937
